"filename", "language", "JSON", "PHP", "XML", "Markdown", "YAML", "Makefile", "SQL", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Image\ImageBackEndInterface.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 50, 12, 88
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Image\ImagickImageBackEnd.php", "PHP", 0, 265, 0, 0, 0, 0, 0, 0, 21, 54, 340
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Image\SvgImageBackEnd.php", "PHP", 0, 289, 0, 0, 0, 0, 0, 0, 12, 69, 370
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Image\TransformationMatrix.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 8, 11, 69
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\DotsModule.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 6, 12, 64
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\EdgeIterator\Edge.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 0, 24, 20, 101
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\EdgeIterator\EdgeIterator.php", "PHP", 0, 114, 0, 0, 0, 0, 0, 0, 24, 32, 170
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\ModuleInterface.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 6, 4, 19
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\RoundnessModule.php", "PHP", 0, 104, 0, 0, 0, 0, 0, 0, 6, 20, 130
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Module\SquareModule.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 6, 11, 48
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\Close.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 6, 6, 30
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\Curve.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 21, 16, 93
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\EllipticArc.php", "PHP", 0, 182, 0, 0, 0, 0, 0, 0, 51, 46, 279
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\Line.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 9, 8, 42
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\Move.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 9, 8, 42
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\OperationInterface.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 3, 3, 13
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Path\Path.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 27, 14, 107
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\PlainTextRenderer.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 18, 21, 87
